ID,Text,Comment
BeaverBuddies.Host.InviteFriends,Invite Friends,
BeaverBuddies.JoinCoopGame.Success,Joined! Receiving map...,
BeaverBuddies.JoinCoopGame.Error.InvalidFormat,Invalid address format. Could not parse port.,
BeaverBuddies.JoinCoopGame.Error.InvalidAddress,"Address was not a valid IP address.
Attempted to resolve it as a host name, but it did not resolve to an IP address.",
BeaverBuddies.JoinCoopGame.Error.CouldNotConnect,"Could not connect to Host. Please check the address and port, and make sure the Host is hosting and has port forwarded if needed. Error details:",
BeaverBuddies.KeyBindings.Group,BeaverBuddies,
BeaverBuddies.KeyBindings.Ping,Ping Location,
BeaverBuddies.Settings.PingPlayerName,Player display name,
BeaverBuddies.Settings.PingPlayerName.Tooltip,"The name shown next to your pings, cursor and building activity. Choose a different name from other players.",
BeaverBuddies.Settings.PingColor,Player color,
BeaverBuddies.Settings.PingColor.Tooltip,"The color of your pings, remote cursor and remote selection outlines.",
BeaverBuddies.Settings.PlayerActivity,Player activity indicators,
BeaverBuddies.Settings.PlayerActivity.Tooltip,"Share your world cursor, selected entity and recent building edits, and show other players' activity. Cursors are 50% transparent. This is an advisory display; buildings are not locked.",
BeaverBuddies.Settings.RollingDiagnostics,Rolling desync diagnostics,
BeaverBuddies.Settings.RollingDiagnostics.Tooltip,Keep bounded recent simulation samples and save a local diagnostic ZIP on desync or recovery. Enabled by default; no automatic upload and no detailed tracing required.,
BeaverBuddies.Settings.ConnectionStatusPanel,Connection and simulation status,
BeaverBuddies.Settings.ConnectionStatusPanel.Tooltip,"Show the multiplayer HUD with response time, queued events and simulation progress. Hide or collapse it in the HUD; restore it from Multiplayer status in the pause menu.",
BeaverBuddies.Settings.CollapseConnectionStatus,Collapse connection status,
